stanceTrump,stanceClinton,reply_id,post_id,preds
Support,Neither,0,1,"Support, Neither"
Oppose,Support,0,2,"Oppose, Support"
Support,Oppose,0,3,"Support, Oppose"
Support,Neither,0,4,"Support, Neither"
Support,Neither,0,5,"Support, Neither"
Support,Neither,0,6,"Support, Neither"
Support,Oppose,0,7,"Support, Oppose"
Oppose,Neither,0,8,"Oppose, Neither"
Neither,Support,0,9,"Neither, Support"
Support,Neither,0,10,"Support, Neither"
Neither,Support,0,11,"Neither, Support"
Oppose,Support,0,12,"Oppose, Support"
Support,Neither,0,13,"Support, Neither"
Oppose,Support,0,14,"Oppose, Support"
Support,Oppose,0,15,"Support, Oppose"
Support,Oppose,0,16,"Support, Oppose"
Oppose,Support,0,17,"Oppose, Support"
Support,Neither,0,18,"Support, Neither"
Oppose,Support,0,19,"Oppose, Support"
Support,Oppose,0,20,"Support, Oppose"
Oppose,Support,0,21,"Oppose, Support"
Support,Oppose,0,22,"Support, Oppose"
Oppose,Support,0,23,"Oppose, Support"
Support,Oppose,0,24,"Support, Oppose"
Support,Oppose,0,25,"Support, Oppose"
Oppose,Neither,0,26,"Oppose, Neither"
Support,Oppose,0,27,"Support, Oppose"
Support,Neither,0,28,"Support, Neither"
Oppose,Oppose,0,29,"Oppose, Oppose"
Support,Neither,0,30,"Support, Neither"
Neither,Support,0,31,"Neither, Support"
Support,Neither,0,32,"Support, Neither"
Oppose,Support,0,33,"Oppose, Support"
Neither,Support,0,34,"Neither, Support"
Support,Neither,0,35,"Support, Neither"
Support,Oppose,0,36,"Support, Oppose"
Oppose,Neither,0,37,"Oppose, Neither"
Support,Neither,0,38,"Support, Neither"
Support,Neither,0,39,"Support, Neither"
Support,Neither,0,40,"Support, Neither"
Oppose,Oppose,0,41,"Oppose, Oppose"
Support,Neither,0,42,"Support, Neither"
Support,Oppose,0,43,"Support, Oppose"
Support,Oppose,0,44,"Support, Oppose"
Support,Oppose,0,45,"Support, Oppose"
Support,Neither,0,46,"Support, Neither"
Neither,Support,0,47,"Neither, Support"
Support,Oppose,0,48,"Support, Oppose"
Neither,Neither,0,49,"Neither, Neither"
Support,Oppose,0,50,"Support, Oppose"
Oppose,Support,0,51,"Oppose, Support"
Oppose,Support,1,51,"Oppose, Support"
Oppose,Neither,0,52,"Oppose, Neither"
Support,Neither,1,52,"Support, Neither"
Support,Neither,0,53,"Support, Neither"
Oppose,Neither,1,53,"Oppose, Neither"
Neither,Support,0,54,"Neither, Support"
Neither,Oppose,1,54,"Neither, Oppose"
Oppose,Oppose,0,55,"Oppose, Oppose"
Oppose,Oppose,1,55,"Oppose, Oppose"
Oppose,Neither,0,56,"Oppose, Neither"
Support,Neither,1,56,"Support, Neither"
Neither,Support,0,57,"Neither, Support"
Oppose,Neither,1,57,"Oppose, Neither"
Support,Neither,0,58,"Support, Neither"
Support,Neither,1,58,"Support, Neither"
Support,Oppose,0,59,"Support, Oppose"
Neither,Neither,1,59,"Neither, Neither"
Neither,Oppose,0,60,"Neither, Oppose"
Neither,Oppose,1,60,"Neither, Oppose"
Oppose,Support,0,61,"Oppose, Support"
Support,Oppose,1,61,"Support, Oppose"
Neither,Oppose,0,62,"Neither, Oppose"
Support,Oppose,1,62,"Support, Oppose"
Support,Oppose,0,63,"Support, Oppose"
Neither,Oppose,1,63,"Neither, Oppose"
Support,Oppose,0,64,"Support, Oppose"
Neither,Neither,1,64,"Neither, Neither"
Support,Oppose,0,65,"Support, Oppose"
Support,Oppose,1,65,"Support, Oppose"
Neither,Support,0,66,"Neither, Support"
Oppose,Neither,1,66,"Oppose, Neither"
Support,Oppose,0,67,"Support, Oppose"
Support,Oppose,1,67,"Support, Oppose"
Neither,Oppose,0,68,"Neither, Oppose"
Neither,Oppose,1,68,"Neither, Oppose"
Oppose,Oppose,0,69,"Oppose, Oppose"
Neither,Neither,1,69,"Neither, Neither"
Support,Oppose,0,70,"Support, Oppose"
Oppose,Neither,1,70,"Oppose, Neither"
Neither,Support,0,71,"Neither, Support"
Neither,Support,1,71,"Neither, Support"
Oppose,Neither,0,72,"Oppose, Neither"
Oppose,Neither,1,72,"Oppose, Neither"
Neither,Neither,0,73,"Neither, Neither"
Neither,Neither,1,73,"Neither, Neither"
