prompt,completion,preds
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@Jeff_Nichols_82 @HillaryforIA #freedom_justice_equality_education for innovation and development to make #happy_life in Utopia
""""""
","Clinton, Favor","Clinton, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@jimlibertarian @peddoc63 @Callisto1947 @MaydnUSA @c5hardtop1999 @surfermom77 @SMolloyDVM That's right!
""""""
","Clinton, Against","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Cruz-- Perry 2016 @tedcruz @GovernorPerry It's the only win-win choice
""""""
","Clinton, Against","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Thanks @Chefs4Hillary for amazing noms for canvassing #FITN
""""""
","Clinton, Favor","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@TODAYshow @ChrisChristie is not qualified b/c he eats $82,000 in snacks & b/c of D corruption of #Bridgegate  A BIG FAT BULLY!
""""""
","Clinton, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""/#Leftest #Hippocratic #Domecrats won't vote for #FineLady #MichellBachmann but will vote for #EmailScandal #Benghazi #Killary
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@thehill Who's in charge of Hillary's campaign? Please get it under control and on message. #smh
""""""
","Clinton, Against","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Another #Hillary supporter committed to caucus tonight! One more step on the way to winning the Iowa caucus.
""""""
","Clinton, Favor","Clinton, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Leader of free world. Global navigating. Interacting with the international community. Beyond big crowds. Learned lesson.
""""""
","Clinton, Against","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Congratulations to our Women Soccer Team for just winning the World Cup against Japan 5-2, women rule ! #freeallfour
""""""
","Clinton, Against","None, None"
