stanceTrump,stanceClinton,reply_id,post_id,preds
Neither,Neither,0,1,"Neither, Neither"
Neither,Support,0,2,"Neither, Support"
Support,Neither,0,3,"Support, Neither"
Support,Neither,0,4,"Support, Neither"
Support,Neither,0,5,"Support, Neither"
Support,Neither,0,6,"Support, Neither"
Support,Neither,0,7,"Support, Neither"
Oppose,Neither,0,8,"Oppose, Neither"
Neither,Support,0,9,"Neither, Support"
Support,Neither,0,10,"Support, Neither"
Neither,Support,0,11,"Neither, Support"
Neither,Oppose,0,12,"Neither, Oppose"
Support,Neither,0,13,"Support, Neither"
Oppose,Support,0,14,"Oppose, Support"
Support,Oppose,0,15,"Support, Oppose"
Neither,Oppose,0,16,"Neither, Oppose"
Oppose,Support,0,17,"Oppose, Support"
Support,Neither,0,18,"Support, Neither"
Neither,Support,0,19,"Neither, Support"
Neither,Oppose,0,20,"Neither, Oppose"
Oppose,Support,0,21,"Oppose, Support"
Support,Neither,0,22,"Support, Neither"
Neither,Support,0,23,"Neither, Support"
Neither,Oppose,0,24,"Neither, Oppose"
Neither,Oppose,0,25,"Neither, Oppose"
Oppose,Neither,0,26,"Oppose, Neither"
Neither,Oppose,0,27,"Neither, Oppose"
Support,Neither,0,28,"Support, Neither"
Neither,Oppose,0,29,"Neither, Oppose"
Support,Neither,0,30,"Support, Neither"
Neither,Neither,0,31,"Neither, Neither"
Support,Neither,0,32,"Support, Neither"
Oppose,Support,0,33,"Oppose, Support"
Neither,Support,0,34,"Neither, Support"
Neither,Neither,0,35,"Neither, Neither"
Neither,Oppose,0,36,"Neither, Oppose"
Oppose,Neither,0,37,"Oppose, Neither"
Support,Neither,0,38,"Support, Neither"
Support,Neither,0,39,"Support, Neither"
Support,Neither,0,40,"Support, Neither"
Neither,Oppose,0,41,"Neither, Oppose"
Neither,Neither,0,42,"Neither, Neither"
Neither,Oppose,0,43,"Neither, Oppose"
Neither,Oppose,0,44,"Neither, Oppose"
Support,Oppose,0,45,"Support, Oppose"
Support,Neither,0,46,"Support, Neither"
Neither,Neither,0,47,"Neither, Neither"
Support,Neither,0,48,"Support, Neither"
Neither,Neither,0,49,"Neither, Neither"
Support,Neither,0,50,"Support, Neither"
Oppose,Support,0,51,"Oppose, Support"
Oppose,Support,1,51,"Oppose, Support"
Oppose,Neither,0,52,"Oppose, Neither"
Support,Neither,1,52,"Support, Neither"
Support,Neither,0,53,"Support, Neither"
Oppose,Neither,1,53,"Oppose, Neither"
Neither,Support,0,54,"Neither, Support"
Neither,Neither,1,54,"Neither, Neither"
Neither,Oppose,0,55,"Neither, Oppose"
Neither,Oppose,1,55,"Neither, Oppose"
Oppose,Neither,0,56,"Oppose, Neither"
Support,Neither,1,56,"Support, Neither"
Neither,Support,0,57,"Neither, Support"
Neither,Neither,1,57,"Neither, Neither"
Support,Neither,0,58,"Support, Neither"
Support,Neither,1,58,"Support, Neither"
Oppose,Support,0,59,"Oppose, Support"
Neither,Oppose,1,59,"Neither, Oppose"
Neither,Oppose,0,60,"Neither, Oppose"
Oppose,Oppose,1,60,"Oppose, Oppose"
Support,Neither,0,61,"Support, Neither"
Support,Oppose,1,61,"Support, Oppose"
Neither,Neither,0,62,"Neither, Neither"
Neither,Neither,1,62,"Neither, Neither"
Neither,Oppose,0,63,"Neither, Oppose"
Neither,Oppose,1,63,"Neither, Oppose"
Support,Oppose,0,64,"Support, Oppose"
Neither,Neither,1,64,"Neither, Neither"
Support,Oppose,0,65,"Support, Oppose"
Support,Neither,1,65,"Support, Neither"
Neither,Support,0,66,"Neither, Support"
Neither,Oppose,1,66,"Neither, Oppose"
Support,Oppose,0,67,"Support, Oppose"
Neither,Neither,1,67,"Neither, Neither"
Neither,Oppose,0,68,"Neither, Oppose"
Neither,Oppose,1,68,"Neither, Oppose"
Neither,Oppose,0,69,"Neither, Oppose"
Neither,Neither,1,69,"Neither, Neither"
Support,Oppose,0,70,"Support, Oppose"
Oppose,Neither,1,70,"Oppose, Neither"
Neither,Support,0,71,"Neither, Support"
Neither,Support,1,71,"Neither, Support"
Neither,Neither,0,72,"Neither, Neither"
Neither,Neither,1,72,"Neither, Neither"
Neither,Neither,0,73,"Neither, Neither"
Neither,Neither,1,73,"Neither, Neither"
Oppose,Neither,0,74,"Oppose, Neither"
Support,Neither,1,74,"Support, Neither"
Oppose,Support,0,75,"Oppose, Support"
Neither,Support,1,75,"Neither, Support"
Support,Oppose,0,76,"Support, Oppose"
Neither,Oppose,1,76,"Neither, Oppose"
