post_id,reply_set,0,1,2,3,4,5,preds
1,0,"Neither, Neither",,,,,,"Neither, Neither, , , , "
2,0,"Neither, Support",,,,,,"Neither, Support, , , , "
3,0,"Support, Oppose",,,,,,"Support, Oppose, , , , "
4,0,"Support, Neither",,,,,,"Support, Neither, , , , "
5,0,"Support, Neither",,,,,,"Support, Neither, , , , "
6,0,"Support, Neither",,,,,,"Support, Neither, , , , "
7,0,"Support, Neither",,,,,,"Support, Neither, , , , "
8,0,"Oppose, Neither",,,,,,"Oppose, Neither, , , , "
9,0,"Neither, Support",,,,,,"Neither, Support, , , , "
10,0,"Support, Neither",,,,,,"Support, Neither, , , , "
11,0,"Neither, Support",,,,,,"Neither, Support, , , , "
12,0,"Neither, Oppose",,,,,,"Neither, Oppose, , , , "
13,0,"Support, Neither",,,,,,"Support, Neither, , , , "
14,0,"Oppose, Support",,,,,,"Oppose, Support, , , , "
15,0,"Support, Oppose",,,,,,"Support, Oppose, , , , "
16,0,"Neither, Oppose",,,,,,"Neither, Oppose, , , , "
17,0,"Oppose, Support",,,,,,"Oppose, Support, , , , "
18,0,"Support, Neither",,,,,,"Support, Neither, , , , "
19,0,"Oppose, Support",,,,,,"Oppose, Support, , , , "
20,0,"Neither, Oppose",,,,,,"Neither, Oppose, , , , "
21,0,"Oppose, Neither",,,,,,"Oppose, Neither, , , , "
22,0,"Neither, Oppose",,,,,,"Neither, Oppose, , , , "
23,0,"Neither, Support",,,,,,"Neither, Support, , , , "
24,0,"Oppose, Oppose",,,,,,"Oppose, Oppose, , , , "
25,0,"Support, Oppose",,,,,,"Support, Oppose, , , , "
26,0,"Oppose, Neither",,,,,,"Oppose, Neither, , , , "
27,0,"Support, Oppose",,,,,,"Support, Oppose, , , , "
28,0,"Support, Neither",,,,,,"Support, Neither, , , , "
29,0,"Neither, Oppose",,,,,,"Neither, Oppose, , , , "
30,0,"Support, Neither",,,,,,"Support, Neither, , , , "
31,0,"Neither, Neither",,,,,,"Neither, Neither, , , , "
32,0,"Support, Neither",,,,,,"Support, Neither, , , , "
33,0,"Oppose, Support",,,,,,"Oppose, Support, , , , "
34,0,"Neither, Support",,,,,,"Neither, Support, , , , "
35,0,"Oppose, Neither",,,,,,"Oppose, Neither, , , , "
36,0,"Neither, Oppose",,,,,,"Neither, Oppose, , , , "
37,0,"Oppose, Neither",,,,,,"Oppose, Neither, , , , "
38,0,"Support, Neither",,,,,,"Support, Neither, , , , "
39,0,"Support, Neither",,,,,,"Support, Neither, , , , "
40,0,"Support, Neither",,,,,,"Support, Neither, , , , "
41,0,"Neither, Oppose",,,,,,"Neither, Oppose, , , , "
42,0,"Neither, Neither",,,,,,"Neither, Neither, , , , "
43,0,"Neither, Oppose",,,,,,"Neither, Oppose, , , , "
44,0,"Neither, Oppose",,,,,,"Neither, Oppose, , , , "
45,0,"Support, Oppose",,,,,,"Support, Oppose, , , , "
46,0,"Support, Neither",,,,,,"Support, Neither, , , , "
47,0,"Neither, Neither",,,,,,"Neither, Neither, , , , "
48,0,"Support, Oppose",,,,,,"Support, Oppose, , , , "
49,0,"Oppose, Neither",,,,,,"Oppose, Neither, , , , "
50,0,"Support, Neither",,,,,,"Support, Neither, , , , "
51,1,"Oppose, Support","Oppose, Neither",,,,,"Oppose, Support, Oppose, Neither, , , "
52,1,"Oppose, Neither","Support, Neither",,,,,"Oppose, Neither, Support, Neither, , , "
53,1,"Support, Neither","Oppose, Neither",,,,,"Support, Neither, Oppose, Neither, , , "
54,1,"Neither, Support","Neither, Neither",,,,,"Neither, Support, Neither, Neither, , , "
55,1,"Neither, Oppose","Neither, Oppose",,,,,"Neither, Oppose, Neither, Oppose, , , "
56,1,"Oppose, Neither","Support, Neither",,,,,"Oppose, Neither, Support, Neither, , , "
57,1,"Neither, Support","Neither, Neither",,,,,"Neither, Support, Neither, Neither, , , "
58,1,"Support, Neither","Neither, Neither",,,,,"Support, Neither, Neither, Neither, , , "
59,1,"Oppose, Support","Neither, Oppose",,,,,"Oppose, Support, Neither, Oppose, , , "
60,1,"Neither, Oppose","Neither, Neither",,,,,"Neither, Oppose, Neither, Neither, , , "
61,1,"Oppose, Neither","Support, Oppose",,,,,"Oppose, Neither, Support, Oppose, , , "
62,1,"Support, Neither","Support, Neither",,,,,"Support, Neither, Support, Neither, , , "
63,1,"Neither, Oppose","Neither, Oppose",,,,,"Neither, Oppose, Neither, Oppose, , , "
64,1,"Support, Oppose","Neither, Neither",,,,,"Support, Oppose, Neither, Neither, , , "
65,1,"Support, Oppose","Support, Neither",,,,,"Support, Oppose, Support, Neither, , , "
66,1,"Neither, Support","Neither, Oppose",,,,,"Neither, Support, Neither, Oppose, , , "
67,1,"Support, Oppose","Neither, Neither",,,,,"Support, Oppose, Neither, Neither, , , "
68,1,"Neither, Oppose","Neither, Oppose",,,,,"Neither, Oppose, Neither, Oppose, , , "
69,1,"Neither, Oppose","Neither, Neither",,,,,"Neither, Oppose, Neither, Neither, , , "
70,1,"Support, Oppose","Oppose, Neither",,,,,"Support, Oppose, Oppose, Neither, , , "
71,1,"Neither, Support","Neither, Neither",,,,,"Neither, Support, Neither, Neither, , , "
72,1,"Neither, Neither","Neither, Neither",,,,,"Neither, Neither, Neither, Neither, , , "
73,1,"Neither, Neither","Neither, Neither",,,,,"Neither, Neither, Neither, Neither, , , "
74,1,"Oppose, Neither","Support, Neither",,,,,"Oppose, Neither, Support, Neither, , , "
75,1,"Oppose, Support","Neither, Support",,,,,"Oppose, Support, Neither, Support, , , "
76,1,"Support, Oppose","Neither, Oppose",,,,,"Support, Oppose, Neither, Oppose, , , "
77,1,"Oppose, Support","Oppose, Neither",,,,,"Oppose, Support, Oppose, Neither, , , "
78,1,"Support, Oppose","Oppose, Neither",,,,,"Support, Oppose, Oppose, Neither, , , "
79,1,"Neither, Oppose","Neither, Oppose",,,,,"Neither, Oppose, Neither, Oppose, , , "
80,1,"Neither, Oppose","Neither, Oppose",,,,,"Neither, Oppose, Neither, Oppose, , , "
81,1,"Neither, Oppose","Neither, Neither",,,,,"Neither, Oppose, Neither, Neither, , , "
82,1,"Support, Oppose","Neither, Neither",,,,,"Support, Oppose, Neither, Neither, , , "
83,1,"Neither, Neither","Neither, Neither",,,,,"Neither, Neither, Neither, Neither, , , "
84,1,"Neither, Neither","Neither, Neither",,,,,"Neither, Neither, Neither, Neither, , , "
85,1,"Oppose, Support","Neither, Oppose",,,,,"Oppose, Support, Neither, Oppose, , , "
86,1,"Neither, Oppose","Neither, Support",,,,,"Neither, Oppose, Neither, Support, , , "
87,1,"Neither, Support","Neither, Neither",,,,,"Neither, Support, Neither, Neither, , , "
88,1,"Oppose, Oppose","Neither, Neither",,,,,"Oppose, Oppose, Neither, Neither, , , "
89,1,"Neither, Neither","Oppose, Neither",,,,,"Neither, Neither, Oppose, Neither, , , "
90,1,"Support, Oppose","Neither, Neither",,,,,"Support, Oppose, Neither, Neither, , , "
91,1,"Oppose, Support","Neither, Neither",,,,,"Oppose, Support, Neither, Neither, , , "
92,1,"Support, Oppose","Support, Oppose",,,,,"Support, Oppose, Support, Oppose, , , "
93,1,"Neither, Oppose","Neither, Neither",,,,,"Neither, Oppose, Neither, Neither, , , "
94,1,"Support, Oppose","Support, Neither",,,,,"Support, Oppose, Support, Neither, , , "
95,1,"Oppose, Neither","Support, Neither",,,,,"Oppose, Neither, Support, Neither, , , "
96,1,"Neither, Support","Neither, Support",,,,,"Neither, Support, Neither, Support, , , "
97,1,"Support, Oppose","Neither, Neither",,,,,"Support, Oppose, Neither, Neither, , , "
98,1,"Oppose, Neither","Support, Neither",,,,,"Oppose, Neither, Support, Neither, , , "
99,1,"Neither, Neither","Neither, Neither",,,,,"Neither, Neither, Neither, Neither, , , "
100,1,"Neither, Oppose","Neither, Oppose",,,,,"Neither, Oppose, Neither, Oppose, , , "
101,2,"Oppose, Support","Support, Neither","Support, Neither",,,,"Oppose, Support, Support, Neither, Support, Neither, , "
102,2,"Support, Oppose","Neither, Oppose","Support, Neither",,,,"Support, Oppose, Neither, Oppose, Support, Neither, , "
103,2,"Neither, Neither","Neither, Neither","Neither, Neither",,,,"Neither, Neither, Neither, Neither, Neither, Neither, , "
104,2,"Support, Oppose","Support, Neither","Neither, Oppose",,,,"Support, Oppose, Support, Neither, Neither, Oppose, , "
105,2,"Oppose, Support","Neither, Neither","Neither, Neither",,,,"Oppose, Support, Neither, Neither, Neither, Neither, , "
106,2,"Neither, Support","Neither, Oppose","Neither, Neither",,,,"Neither, Support, Neither, Oppose, Neither, Neither, , "
107,2,"Neither, Oppose","Oppose, Support","Neither, Neither",,,,"Neither, Oppose, Oppose, Support, Neither, Neither, , "
108,2,"Support, Oppose","Oppose, Support","Support, Neither",,,,"Support, Oppose, Oppose, Support, Support, Neither, , "
109,2,"Support, Oppose","Support, Oppose","Support, Neither",,,,"Support, Oppose, Support, Oppose, Support, Neither, , "
110,2,"Neither, Oppose","Neither, Neither","Neither, Oppose",,,,"Neither, Oppose, Neither, Neither, Neither, Oppose, , "
111,2,"Oppose, Neither","Neither, Neither","Support, Neither",,,,"Oppose, Neither, Neither, Neither, Support, Neither, , "
112,2,"Neither, Oppose","Oppose, Neither","Support, Oppose",,,,"Neither, Oppose, Oppose, Neither, Support, Oppose, , "
113,2,"Neither, Neither","Oppose, Neither","Neither, Neither",,,,"Neither, Neither, Oppose, Neither, Neither, Neither, , "
114,2,"Neither, Neither","Neither, Neither","Support, Neither",,,,"Neither, Neither, Neither, Neither, Support, Neither, , "
115,2,"Support, Oppose","Support, Neither","Neither, Oppose",,,,"Support, Oppose, Support, Neither, Neither, Oppose, , "
116,2,"Support, Oppose","Neither, Neither","Neither, Neither",,,,"Support, Oppose, Neither, Neither, Neither, Neither, , "
117,2,"Support, Neither","Neither, Neither","Support, Neither",,,,"Support, Neither, Neither, Neither, Support, Neither, , "
118,2,"Oppose, Support","Neither, Oppose","Neither, Oppose",,,,"Oppose, Support, Neither, Oppose, Neither, Oppose, , "
119,2,"Neither, Oppose","Neither, Oppose","Neither, Support",,,,"Neither, Oppose, Neither, Oppose, Neither, Support, , "
120,2,"Neither, Oppose","Neither, Neither","Neither, Neither",,,,"Neither, Oppose, Neither, Neither, Neither, Neither, , "
121,2,"Support, Oppose","Neither, Neither","Neither, Oppose",,,,"Support, Oppose, Neither, Neither, Neither, Oppose, , "
122,2,"Support, Oppose","Oppose, Neither","Oppose, Neither",,,,"Support, Oppose, Oppose, Neither, Oppose, Neither, , "
123,2,"Oppose, Support","Neither, Neither","Oppose, Support",,,,"Oppose, Support, Neither, Neither, Oppose, Support, , "
124,2,"Support, Oppose","Neither, Oppose","Neither, Oppose",,,,"Support, Oppose, Neither, Oppose, Neither, Oppose, , "
125,2,"Neither, Neither","Neither, Support","Neither, Neither",,,,"Neither, Neither, Neither, Support, Neither, Neither, , "
126,2,"Support, Oppose","Support, Oppose","Oppose, Neither",,,,"Support, Oppose, Support, Oppose, Oppose, Neither, , "
127,2,"Neither, Oppose","Oppose, Neither","Neither, Neither",,,,"Neither, Oppose, Oppose, Neither, Neither, Neither, , "
128,2,"Support, Oppose","Neither, Oppose","Oppose, Support",,,,"Support, Oppose, Neither, Oppose, Oppose, Support, , "
129,2,"Oppose, Neither","Support, Neither","Neither, Neither",,,,"Oppose, Neither, Support, Neither, Neither, Neither, , "
130,2,"Neither, Oppose","Support, Neither","Neither, Neither",,,,"Neither, Oppose, Support, Neither, Neither, Neither, , "
131,2,"Neither, Support","Neither, Support","Neither, Neither",,,,"Neither, Support, Neither, Support, Neither, Neither, , "
132,2,"Neither, Neither","Neither, Neither","Oppose, Neither",,,,"Neither, Neither, Neither, Neither, Oppose, Neither, , "
133,2,"Support, Oppose","Neither, Neither","Neither, Neither",,,,"Support, Oppose, Neither, Neither, Neither, Neither, , "
134,2,"Neither, Support","Neither, Support","Neither, Neither",,,,"Neither, Support, Neither, Support, Neither, Neither, , "
135,2,"Neither, Neither","Support, Neither","Neither, Neither",,,,"Neither, Neither, Support, Neither, Neither, Neither, , "
136,2,"Neither, Neither","Oppose, Neither","Neither, Neither",,,,"Neither, Neither, Oppose, Neither, Neither, Neither, , "
137,2,"Oppose, Neither","Neither, Neither","Support, Neither",,,,"Oppose, Neither, Neither, Neither, Support, Neither, , "
138,2,"Neither, Oppose","Oppose, Neither","Neither, Oppose",,,,"Neither, Oppose, Oppose, Neither, Neither, Oppose, , "
