completion,preds
"Clinton, Favor","Trump, "
"Clinton, Against","Trump, "
"Clinton, Against",", "
"Clinton, Favor","Trump, "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Favor","Trump, "
"Clinton, Against","Trump, "
"Clinton, Against",", "
"Clinton, Against","Clinton, "
"Clinton, Against","Trump, "
"Clinton, Favor","Trump, "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Against","Trump, "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Favor","Clinton, "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Favor","Trump, "
"Clinton, Against","Trump, "
"Clinton, Favor","Trump, "
"Clinton, Favor",", "
"Clinton, Favor",", "
"Clinton, Against","Trump, "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Against","Trump, "
"Clinton, Favor","Trump, "
"Clinton, None","Trump, "
"Clinton, Favor",", "
"Clinton, None",", Favor"
"Clinton, None","Trump, "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, None",", "
"Clinton, Favor",", "
"Clinton, None","Trump, "
"Clinton, Against",", "
"Clinton, None",", Favor"
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Favor","Trump, "
"Clinton, None","Trump, "
"Clinton, Against","Trump, "
"Clinton, Against","Trump, "
"Clinton, None","Trump, "
"Clinton, Against","Clinton, "
"Clinton, Against","Trump, "
"Clinton, Against","Trump, "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Favor",", "
"Clinton, Against","Trump, "
"Clinton, None","Trump, "
"Clinton, Favor",", "
"Clinton, Against","Trump, "
"Clinton, Against",", Against"
"Clinton, Against",", "
"Clinton, Against","Trump, "
"Clinton, Favor",", "
"Clinton, Against","Trump, "
"Clinton, Against",", "
"Clinton, Favor","Trump, "
"Clinton, Against",", "
"Clinton, None","Trump, "
"Clinton, Against",", Favor"
"Clinton, None","Trump, "
"Clinton, Against","Trump, "
"Clinton, Favor","Trump, "
"Clinton, Against","Clinton, "
"Clinton, Against","Trump, "
"Clinton, Against","Trump, "
"Clinton, None",", "
"Clinton, Favor",", "
"Clinton, Against",", "
"Clinton, Against",", Against"
"Clinton, Against",", "
"Clinton, None","Trump, "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Favor",", "
"Clinton, Against","Trump, "
"Clinton, Favor",", "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Favor",", "
"Clinton, Against",", "
"Clinton, Against",", "
"Clinton, Against","Trump, "
"Clinton, Against",", "
"Clinton, Against","Trump, "
"Clinton, Against",", "
"Clinton, Against","Trump, "
"Clinton, None","Trump, "
"Clinton, Against",", "
"Clinton, None","Trump, "
"Clinton, None","Trump, "
"Clinton, None","Trump, "
