post_id,reply_set,0,1,2,3,4,5,preds
1,0,"Neither, Neither",,,,,,"Neither, Neither, , , , "
2,0,"Oppose, Support",,,,,,"Oppose, Support, , , , "
3,0,"Support, Oppose",,,,,,"Support, Oppose, , , , "
4,0,"Support, Oppose",,,,,,"Support, Oppose, , , , "
5,0,"Support, Oppose",,,,,,"Support, Oppose, , , , "
6,0,"Support, Oppose",,,,,,"Support, Oppose, , , , "
7,0,"Support, Oppose",,,,,,"Support, Oppose, , , , "
8,0,"Oppose, Neither",,,,,,"Oppose, Neither, , , , "
9,0,"Neither, Neither",,,,,,"Neither, Neither, , , , "
10,0,"Support, Neither",,,,,,"Support, Neither, , , , "
11,0,"Oppose, Support",,,,,,"Oppose, Support, , , , "
12,0,"Neither, Oppose",,,,,,"Neither, Oppose, , , , "
13,0,"Support, Neither",,,,,,"Support, Neither, , , , "
14,0,"Oppose, Support",,,,,,"Oppose, Support, , , , "
15,0,"Support, Oppose",,,,,,"Support, Oppose, , , , "
16,0,"Support, Oppose",,,,,,"Support, Oppose, , , , "
17,0,"Neither, Oppose",,,,,,"Neither, Oppose, , , , "
18,0,"Support, Neither",,,,,,"Support, Neither, , , , "
19,0,"Oppose, Support",,,,,,"Oppose, Support, , , , "
20,0,"Support, Oppose",,,,,,"Support, Oppose, , , , "
21,0,"Oppose, Oppose",,,,,,"Oppose, Oppose, , , , "
22,0,"Support, Oppose",,,,,,"Support, Oppose, , , , "
23,0,"Oppose, Support",,,,,,"Oppose, Support, , , , "
24,0,"Support, Oppose",,,,,,"Support, Oppose, , , , "
25,0,"Support, Oppose",,,,,,"Support, Oppose, , , , "
26,0,"Oppose, Neither",,,,,,"Oppose, Neither, , , , "
27,0,"Neither, Oppose",,,,,,"Neither, Oppose, , , , "
28,0,"Support, Neither",,,,,,"Support, Neither, , , , "
29,0,"Neither, Oppose",,,,,,"Neither, Oppose, , , , "
30,0,"Support, Neither",,,,,,"Support, Neither, , , , "
31,0,"Neither, Neither",,,,,,"Neither, Neither, , , , "
32,0,"Neither, Neither",,,,,,"Neither, Neither, , , , "
33,0,"Oppose, Support",,,,,,"Oppose, Support, , , , "
34,0,"Oppose, Support",,,,,,"Oppose, Support, , , , "
35,0,"Neither, Neither",,,,,,"Neither, Neither, , , , "
36,0,"Neither, Oppose",,,,,,"Neither, Oppose, , , , "
37,0,"Oppose, Neither",,,,,,"Oppose, Neither, , , , "
38,0,"Support, Neither",,,,,,"Support, Neither, , , , "
39,0,"Support, Oppose",,,,,,"Support, Oppose, , , , "
40,0,"Support, Neither",,,,,,"Support, Neither, , , , "
41,0,"Neither, Oppose",,,,,,"Neither, Oppose, , , , "
42,0,"Neither, Neither",,,,,,"Neither, Neither, , , , "
43,0,"Neither, Oppose",,,,,,"Neither, Oppose, , , , "
44,0,"Support, Oppose",,,,,,"Support, Oppose, , , , "
45,0,"Support, Oppose",,,,,,"Support, Oppose, , , , "
46,0,"Support, Neither",,,,,,"Support, Neither, , , , "
47,0,"Neither, Neither",,,,,,"Neither, Neither, , , , "
48,0,"Support, Oppose",,,,,,"Support, Oppose, , , , "
49,0,"Neither, Neither",,,,,,"Neither, Neither, , , , "
50,0,"Support, Neither",,,,,,"Support, Neither, , , , "
51,1,"Oppose, Support","Oppose, Support",,,,,"Oppose, Support, Oppose, Support, , , "
52,1,"Oppose, Neither","Neither, Neither",,,,,"Oppose, Neither, Neither, Neither, , , "
53,1,"Support, Neither","Oppose, Neither",,,,,"Support, Neither, Oppose, Neither, , , "
54,1,"Neither, Support","Neither, Oppose",,,,,"Neither, Support, Neither, Oppose, , , "
55,1,"Neither, Oppose","Neither, Oppose",,,,,"Neither, Oppose, Neither, Oppose, , , "
56,1,"Oppose, Neither","Support, Neither",,,,,"Oppose, Neither, Support, Neither, , , "
57,1,"Neither, Support","Neither, Neither",,,,,"Neither, Support, Neither, Neither, , , "
58,1,"Support, Oppose","Support, Neither",,,,,"Support, Oppose, Support, Neither, , , "
59,1,"Oppose, Support","Neither, Oppose",,,,,"Oppose, Support, Neither, Oppose, , , "
60,1,"Neither, Oppose","Neither, Neither",,,,,"Neither, Oppose, Neither, Neither, , , "
61,1,"Support, Oppose","Support, Oppose",,,,,"Support, Oppose, Support, Oppose, , , "
62,1,"Support, Neither","Neither, Neither",,,,,"Support, Neither, Neither, Neither, , , "
63,1,"Neither, Oppose","Neither, Oppose",,,,,"Neither, Oppose, Neither, Oppose, , , "
64,1,"Support, Oppose","Neither, Neither",,,,,"Support, Oppose, Neither, Neither, , , "
65,1,"Support, Oppose","Support, Neither",,,,,"Support, Oppose, Support, Neither, , , "
66,1,"Oppose, Support","Support, Oppose",,,,,"Oppose, Support, Support, Oppose, , , "
67,1,"Support, Oppose","Neither, Neither",,,,,"Support, Oppose, Neither, Neither, , , "
68,1,"Neither, Oppose","Neither, Oppose",,,,,"Neither, Oppose, Neither, Oppose, , , "
