completion,preds
"None, Against","None, None"
"None, None","None, None"
"None, None","None, None"
"None, None","None, None"
"None, None","None, None"
"None, None","None, None"
"None, Against","None, None"
"None, Against","None, None"
"None, None","None, None"
"None, Against","None, None"
"Favor, Against","None, None"
"None, None","None, None"
"None, Against","None, None"
"None, None","None, None"
"None, None","None, None"
"Against, Favor","None, None"
"None, None","None, None"
"None, Against","None, None"
"None, None","None, None"
"Favor, Against","None, None"
"None, Against","None, None"
"None, Against","None, None"
"Against, None","None, None"
"Against, Against","None, None"
"Favor, None","None, None"
"None, Against","None, None"
"None, Against","None, None"
"None, None","None, None"
"Favor, Against","None, None"
"Favor, Against","None, None"
"None, None","None, None"
"Against, None","None, None"
"None, None","None, None"
"Against, None","None, None"
"None, Favor","None, None"
"None, Favor","None, None"
"None, Against","None, None"
"None, Against","None, None"
"None, Against","None, None"
"None, None","None, None"
"None, None","None, None"
"Against, Favor","None, None"
"None, Against","None, None"
"None, None","None, None"
"Against, Favor","None, None"
"None, None","None, None"
"None, Against","None, None"
"Against, None","None, None"
"None, None","None, None"
"None, Against","None, None"
"None, Against","None, None"
"Against, None","None, None"
"None, Favor","None, None"
"None, Against","None, None"
"None, None","None, None"
"None, Against","None, None"
"None, None","None, None"
"None, Favor","None, None"
"None, Against","None, None"
"None, Favor","None, None"
"None, None","None, None"
"None, Against","None, None"
"Against, None","None, None"
"None, None","None, None"
"None, Favor","None, None"
"None, Favor","None, None"
"None, None","None, None"
"None, Against","None, None"
"None, Against","None, None"
"None, Favor","None, None"
"Against, Favor","None, None"
"None, Favor","None, None"
"None, Against","None, None"
"None, Against","None, None"
"Against, Favor","None, None"
"None, Against","None, None"
"None, Against","None, None"
"None, Against","None, None"
"None, None","None, None"
"None, None","None, None"
"None, None","None, None"
"None, Against","None, None"
"None, Against","None, None"
"None, Against","None, None"
"None, Favor","None, None"
"None, None","None, None"
"Against, None","None, None"
"None, None","None, None"
"None, Against","None, None"
"None, Favor","None, None"
"None, Favor","None, None"
"None, Against","None, None"
"None, None","None, None"
"None, Favor","None, None"
"None, Against","None, None"
"None, None","None, None"
"None, Against","None, None"
"Against, Favor","None, None"
"None, Against","None, None"
"Favor, Against","None, None"
"None, Against","None, None"
"None, None","None, None"
"None, Against","None, None"
"None, Against","None, None"
"Against, None","None, None"
"None, Against","None, None"
"None, None","None, None"
"Favor, None","None, None"
"None, Against","None, None"
"None, Against","None, None"
"None, Favor","None, None"
"None, Against","None, None"
"None, Against","None, None"
"None, None","None, None"
"None, Against","None, None"
"None, Against","None, None"
"None, None","None, None"
"None, Favor","None, None"
"None, Against","None, None"
"None, Favor","None, None"
"None, Against","None, None"
